Country,Year,AQI
Romania,2021,16.508101265822784
Russia,2018,11.4
Russia,2019,9.9
Russia,2020,9.3
Russia,2021,13.413636363636362
Saudi Arabia,2018,25.17013888888889
Saudi Arabia,2019,22.1
Saudi Arabia,2020,23.3
Saudi Arabia,2021,30.110416666666666
Serbia,2018,23.9
Serbia,2019,23.3
Serbia,2020,24.3
Serbia,2021,28.319402985074625
Singapore,2018,14.8
Singapore,2019,19.0
Singapore,2020,11.8
Singapore,2021,13.815384615384614
Slovakia,2018,18.5
Slovakia,2019,16.1
Slovakia,2020,15.3
Slovakia,2021,16.56300268096515
Slovenia,2018,13.408333333333333
Slovenia,2019,13.408333333333333
Slovenia,2020,13.408333333333333
Slovenia,2021,13.408333333333333
South Africa,2018,19.569216061185468
South Africa,2019,21.6
South Africa,2020,18.0
South Africa,2021,19.107648183556403
South Korea,2018,24.0
South Korea,2019,24.8
South Korea,2020,19.5
South Korea,2021,17.898329621380846
Spain,2018,10.3
Spain,2019,9.7
Spain,2020,10.4
Spain,2021,9.22720355104629
Sri Lanka,2018,32.0
Sri Lanka,2019,25.2
Sri Lanka,2020,22.4
Sri Lanka,2021,15.020547945205479
Sudan,2018,44.50769230769231
Sudan,2019,44.50769230769231
Sudan,2020,44.50769230769231
Sudan,2021,44.50769230769231
Sweden,2018,7.4
Sweden,2019,6.6
Sweden,2020,5.0
Sweden,2021,6.647811447811448
Switzerland,2018,11.6
Switzerland,2019,10.9
Switzerland,2020,9.0
Switzerland,2021,10.076940639269406
Syria,2018,22.63478260869565
Syria,2019,22.63478260869565
Syria,2020,22.63478260869565
Syria,2021,22.63478260869565
Taiwan,2018,18.5
Taiwan,2019,17.2
Taiwan,2020,15.0
Taiwan,2021,16.56123188405797
Tajikistan,2018,44.82599999999999
Tajikistan,2019,44.82599999999999
Tajikistan,2020,30.9
Tajikistan,2021,58.751999999999995
Thailand,2018,26.4
Thailand,2019,24.3
Thailand,2020,21.4
Thailand,2021,23.046601941747575
Trinidad and Tobago,2018,6.640000000000001
Trinidad and Tobago,2019,6.640000000000001
Trinidad and Tobago,2020,6.640000000000001
Trinidad and Tobago,2021,6.640000000000001
Turkey,2018,21.9
Turkey,2019,20.6
Turkey,2020,18.7
Turkey,2021,21.623742138364783
Turkmenistan,2018,18.73076923076923
Turkmenistan,2019,18.73076923076923
Turkmenistan,2020,17.0
Turkmenistan,2021,20.46153846153846
U.S. Virgin Islands,2018,3.829333333333333
U.S. Virgin Islands,2019,3.5
U.S. Virgin Islands,2020,3.7
U.S. Virgin Islands,2021,4.288
USA,2018,9.1
USA,2019,9.0
USA,2020,9.6
USA,2021,9.98983758700696
Uganda,2018,40.8
Uganda,2019,29.1
Uganda,2020,26.1
Uganda,2021,27.715384615384615
Ukraine,2018,14.0
Ukraine,2019,16.6
Ukraine,2020,19.2
Ukraine,2021,18.403030303030302
United Arab Emirates,2018,49.9
United Arab Emirates,2019,38.9
United Arab Emirates,2020,29.2
United Arab Emirates,2021,34.492
United Kingdom,2018,10.8
United Kingdom,2019,10.5
United Kingdom,2020,8.3
United Kingdom,2021,8.290327868852458
Uruguay,2018,13.475000000000001
Uruguay,2019,13.475000000000001
Uruguay,2020,13.475000000000001
Uruguay,2021,13.475000000000001
Uzbekistan,2018,34.3
Uzbekistan,2019,41.2
Uzbekistan,2020,29.9
Uzbekistan,2021,43.04615384615385
Vietnam,2018,32.9
Vietnam,2019,34.1
Vietnam,2020,28.0
Vietnam,2021,24.908092485549137
