Country,Type,Year,AQI
"Changde, China",City,2018,42.3
"Tangjiazhuang, China",City,2018,39.9
"Tianjin, China",City,2018,52.3
"Fushun, China",City,2018,41.2
"Datong, China",City,2018,34.06
"Huayin, China",City,2018,40.73333333333333
"Palwal, India",City,2018,56.599999999999994
"Bozhou, China",City,2018,57.5
"Mingguang, China",City,2018,39.5
"Nan, Thailand",City,2018,36.0
"Hyderabad, India",City,2018,44.2
"Bengbu, China",City,2018,52.8
"Susangerd, Iran",City,2018,39.3
"Cho, Vietnam",City,2018,39.3
"Suqian, China",City,2018,53.1
"Changzhi, China",City,2018,53.2
"Agartala, India",City,2018,39.2
"Jakarta, Indonesia",City,2018,45.3
"Xinyang, China",City,2018,53.8
"Jinzhong, China",City,2018,53.5
"Atyrau, Kazakhstan",City,2018,39.1
"Zhuzhou, China",City,2018,42.3
"Dewas, India",City,2018,48.2
"Mala Kladusa, Bosnia Herzegovina",City,2018,38.7
"Leshan, China",City,2018,45.7
"Ahvaz, Iran",City,2018,39.05
"Tshwane, South Africa",City,2018,38.5
"Yuxia, China",City,2018,39.96666666666667
"Dongying, China",City,2018,47.4
"Luzhou, China",City,2018,37.0
"Klang, Malaysia",City,2018,29.099999999999998
"Orzesze, Poland",City,2018,41.150000000000006
"Doha, Qatar",City,2018,41.25
"Borivli, India",City,2018,38.1
"Baoji, China",City,2018,49.9
"Zhaoyuan, China",City,2018,38.0
"Shashi, China",City,2018,39.800000000000004
"Huaian, China",City,2018,49.8
"Zhenjiang, China",City,2018,53.2
"Laixi, China",City,2018,39.8
"Deyang, China",City,2018,41.1
"Tarkhad, India",City,2018,39.35
"Kabul, Afghanistan",City,2018,61.8
"Tianchang, China",City,2018,37.5
"Ezhou, China",City,2018,44.9
"Pingdu, China",City,2018,37.6
"Dazhou, China",City,2018,44.7
"Jiujiang, China",City,2018,46.5
"Trn, Bosnia Herzegovina",City,2018,37.2
"Padre las Casas, Chile",City,2018,43.3
"Isfahan, Iran",City,2018,23.8
"Bam, Iran",City,2018,37.2
