Location,2021,2020,2019,2018,Type
"Borivli, India",38.1,,,,City
"Baoji, China",38.0,43.8,49.8,49.9,City
"Zhaoyuan, China",38.0,,,,City
"Shashi, China",37.9,38.9,42.6,,City
"Huaian, China",37.7,41.1,43.8,49.8,City
"Zhenjiang, China",37.7,37.7,45.0,53.2,City
"Laixi, China",37.7,41.5,47.8,39.8,City
"Deyang, China",37.7,37.1,39.9,41.1,City
"Tarkhad, India",37.6,41.1,,,City
"Kabul, Afghanistan",37.5,46.5,58.8,61.8,City
"Tianchang, China",37.5,,,,City
"Ezhou, China",37.4,37.8,42.5,44.9,City
"Pingdu, China",37.4,39.5,46.3,37.6,City
"Dazhou, China",37.4,37.6,45.3,44.7,City
"Jiujiang, China",37.3,41.8,53.4,46.5,City
"Trn, Bosnia Herzegovina",37.2,,,,City
"Padre las Casas, Chile",37.2,28.6,32.5,43.3,City
"Isfahan, Iran",37.2,31.4,26.4,23.8,City
"Bam, Iran",37.2,,,,City
"Lanzhou, China",37.1,33.0,35.7,45.9,City
"Zhongwei, China",37.1,33.3,31.5,36.9,City
"Nanchong, China",37.1,36.6,42.3,45.3,City
"Damoh, India",37.1,36.3,39.3,,City
"Doboj, Bosnia Herzegovina",37.0,37.6,,,City
"Lukavac, Bosnia Herzegovina",37.0,37.7,39.9,55.6,City
"Shenyang, China",37.0,40.8,41.6,39.3,City
"Esik, Kazakhstan",37.0,,,,City
"Suizhou, China",36.9,37.0,41.9,44.0,City
"Shaoyang, China",36.9,37.3,42.1,44.0,City
"Dubai, United Arab Emirates",36.9,32.6,40.9,55.3,City
"Pho Moi, Vietnam",36.9,,,,City
"Huludao, China",36.8,41.7,45.5,41.0,City
"Shooshtar, Iran",36.8,33.9,34.3,,City
"Yeghegnavan, Armenia",36.7,26.6,31.8,,City
"Taixing, China",36.7,,,,City
"Dawukou, China",36.7,,,,City
"Liaoyang, China",36.6,40.5,40.3,37.6,City
"Ceglie Messapica, Italy",36.6,31.7,30.7,16.2,City
"Wuzhong, China",36.5,33.9,31.1,37.9,City
"Hangu, China",36.5,,,,City
"Ust-Kamenogorsk, Kazakhstan",36.4,,,,City
"Eslamshahr, Iran",36.3,,19.7,,City
"Xinpu, China",36.2,38.8,35.5,,City
"Anshan, China",36.2,40.7,39.2,34.9,City
"Warin Chamrap, Thailand",36.2,,,,City
